what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1668808204470
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1668808204470
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1668808204474
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1668808204474
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1668808204482
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1668808204482
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1668808204482
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1668808204486
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1668808204486
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1668808204486
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1668808204486
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1668808204498
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1668808204498
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1668808204521
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1668808204521
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1668808204521
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1668808204521
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1668808204521
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1668808204521
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1668808204521
os,sysinfo,,,"win32",1668808204525
arch,sysinfo,,,"x86",1668808204525
ws,sysinfo,,,"win32",1668808204525
locale,sysinfo,,,"en_GB",1668808204525
processors,sysinfo,,,"4",1668808204525
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1668808204525
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1668808204525
java.specification.name,sysinfo,,,"Java Platform API Specification",1668808204525
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1668808204525
java.specification.version,sysinfo,,,"1.6",1668808204525
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1668808204525
java.version,sysinfo,,,"1.6.0_23",1668808204525
java.vm.info,sysinfo,,,"mixed mode",1668808204525
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1668808204525
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1668808204525
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1668808204525
