what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1673667601217
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1673667601221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673667604261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673667609443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668245163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668247807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668292774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1673668297905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668304722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668334423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668335867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668356229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1673668357961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668366175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668577208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668581967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668584564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668588878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668601338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668621465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668697068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673668698394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673669958902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673669962381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673670656904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673670658302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673670864611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673670868021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673671841907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1673671849586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673671849873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673671850058
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1673671851014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673671854353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673671888462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673671893212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673671895550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673671899193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673671901264
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1673671909243
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1673671909310
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1673671909314
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1673671909468
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1673671911498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673671917625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672598572
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1673672600648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672617602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672619957
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1673672629186
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1673672634010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672634249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672634353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672643490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672722658
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1673672722716
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1673672725216
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1673672725508
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1673672725552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672750555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672819746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672821818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672842918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672849259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672851302
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1673672851710
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1673672854059
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1673672854306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672859548
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1673672859580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672861618
started,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1673672861634
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1673672861638
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1673672861638
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1673672862017
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1673672862093
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1673672862193
activated,perspective,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui.debugPerspective",1673672862253
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1673672883028
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1673672891296
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1673672891306
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1673672894184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672895671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672897497
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1673672897989
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1673672898336
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1673673154037
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1673673154037
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1673673154037
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1673673154037
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1673673154041
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1673673154041
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1673673154041
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1673673154041
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1673673154041
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1673673154041
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1673673154041
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1673673154041
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1673673154045
