what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1669868407968
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1669868407968
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1669868407968
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1669868407968
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1669868407968
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1669868407968
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1669868407968
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1669868407968
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1669868407968
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1669868407968
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1669868407968
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1669868407968
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1669868407968
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1669868407968
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1669868407968
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1669868407968
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1669868407968
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1669868407968
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1669868407968
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1669868407968
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1669868407968
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1669868407968
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1669868407968
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1669868407968
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1669868407968
os,sysinfo,,,"win32",1669868407983
arch,sysinfo,,,"x86",1669868407983
ws,sysinfo,,,"win32",1669868407983
locale,sysinfo,,,"en_GB",1669868407983
processors,sysinfo,,,"4",1669868407983
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1669868407983
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1669868407983
java.specification.name,sysinfo,,,"Java Platform API Specification",1669868407983
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1669868407983
java.specification.version,sysinfo,,,"1.6",1669868407983
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1669868407983
java.version,sysinfo,,,"1.6.0_23",1669868407983
java.vm.info,sysinfo,,,"mixed mode",1669868407983
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1669868407983
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1669868407983
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1669868407983
java.vm.specification.version,sysinfo,,,"1.0",1669868407983
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1669868407983
java.vm.version,sysinfo,,,"19.0-b09",1669868407983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669868411298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669868428083
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1669868430489
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1669868431006
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1669868431060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669868434444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669868437806
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1669868438931
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1669868438931
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669868441759
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1669868442276
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1669868442276
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1669868442276
